date,departure_rail_station_crs,destination_rail_station_crs,weather_station,rainfall_nightbefore_mm,service_count_total,service_count_ontime
2022-05-01,LDS,BDQ,bradford,2.2,0,0
2022-05-02,LDS,BDQ,bradford,0.0,6,6
2022-05-03,LDS,BDQ,bradford,1.4,6,5
2022-05-04,LDS,BDQ,bradford,0.2,6,5
2022-05-05,LDS,BDQ,bradford,0.0,6,6
2022-05-06,LDS,BDQ,bradford,0.2,6,6
2022-05-07,LDS,BDQ,bradford,2.4,0,0
2022-05-08,LDS,BDQ,bradford,0.0,0,0
2022-05-09,LDS,BDQ,bradford,0.0,6,5
2022-05-10,LDS,BDQ,bradford,0.0,6,5
2022-05-11,LDS,BDQ,bradford,0.6,6,4
2022-05-12,LDS,BDQ,bradford,0.4,6,5
2022-05-13,LDS,BDQ,bradford,0.2,6,6
2022-05-14,LDS,BDQ,bradford,0.0,0,0
2022-05-15,LDS,BDQ,bradford,0.0,0,0
2022-05-16,LDS,BDQ,bradford,0.4,7,6
2022-05-17,LDS,BDQ,bradford,6.2,7,7
2022-05-18,LDS,BDQ,bradford,1.0,7,6
2022-05-19,LDS,BDQ,bradford,1.0,7,4
2022-05-20,LDS,BDQ,bradford,0.0,7,7
2022-05-21,LDS,BDQ,bradford,16.6,0,0
2022-05-22,LDS,BDQ,bradford,0.0,0,0
2022-05-23,LDS,BDQ,bradford,1.0,7,6
2022-05-24,LDS,BDQ,bradford,0.0,7,7
2022-05-25,LDS,BDQ,bradford,1.2,7,6
2022-05-26,LDS,BDQ,bradford,0.8,7,6
2022-05-27,LDS,BDQ,bradford,0.4,7,5
2022-05-28,LDS,BDQ,bradford,0.0,0,0
2022-05-29,LDS,BDQ,bradford,0.0,0,0
2022-05-30,LDS,BDQ,bradford,0.0,7,4
2022-05-01,LDS,KGX,bramham,0.0,0,0
2022-05-02,LDS,KGX,bramham,0.0,9,7
2022-05-03,LDS,KGX,bramham,0.4,9,6
2022-05-04,LDS,KGX,bramham,0.0,9,7
2022-05-05,LDS,KGX,bramham,1.0,9,6
2022-05-06,LDS,KGX,bramham,0.0,9,9
2022-05-07,LDS,KGX,bramham,5.2,0,0
2022-05-08,LDS,KGX,bramham,0.0,0,0
2022-05-09,LDS,KGX,bramham,0.0,9,9
2022-05-10,LDS,KGX,bramham,0.0,9,7
2022-05-11,LDS,KGX,bramham,0.0,8,0
2022-05-12,LDS,KGX,bramham,0.2,9,7
2022-05-13,LDS,KGX,bramham,0.2,9,6
2022-05-14,LDS,KGX,bramham,0.0,0,0
2022-05-15,LDS,KGX,bramham,0.0,0,0
2022-05-16,LDS,KGX,bramham,1.6,9,8
2022-05-17,LDS,KGX,bramham,4.8,9,8
2022-05-18,LDS,KGX,bramham,4.2,9,7
2022-05-19,LDS,KGX,bramham,1.6,9,9
2022-05-20,LDS,KGX,bramham,0.0,9,8
2022-05-21,LDS,KGX,bramham,10.0,0,0
2022-05-22,LDS,KGX,bramham,0.2,0,0
2022-05-23,LDS,KGX,bramham,0.0,9,8
2022-05-24,LDS,KGX,bramham,0.0,9,7
2022-05-25,LDS,KGX,bramham,0.2,9,9
2022-05-26,LDS,KGX,bramham,0.0,9,9
2022-05-27,LDS,KGX,bramham,1.2,9,7
2022-05-28,LDS,KGX,bramham,0.0,0,0
2022-05-29,LDS,KGX,bramham,0.0,0,0
2022-05-30,LDS,KGX,bramham,0.4,8,6
